accident_id,duration_minutes,vehicles_involved,full_datetime,year,month,hour,day_of_week,is_night,is_weekend,city,road_type,severity,weather
ACC-000010,40.9,2,2024-12-26 06:00:00,2024,12,6,Thursday,0,0,Ho Chi Minh City,Residential,Moderate,Clear
ACC-010288,25.1,4,2024-12-26 06:00:00,2024,12,6,Thursday,0,0,Ho Chi Minh City,Urban Street,Minor,Rain
ACC-000011,66.3,3,2025-05-07 01:00:00,2025,5,1,Wednesday,1,0,Can Tho,Urban Street,Moderate,Clear
ACC-017750,20.3,1,2025-05-07 01:00:00,2025,5,1,Wednesday,1,0,Da Nang,Urban Street,Minor,Rain
ACC-000012,49.2,1,2024-12-05 19:00:00,2024,12,19,Thursday,0,0,Da Nang,Highway,Moderate,Clear
ACC-013324,14.4,2,2024-12-05 19:00:00,2024,12,19,Thursday,0,0,Hai Phong,Intersection,Minor,Clear
ACC-015274,60.4,1,2024-12-05 19:00:00,2024,12,19,Thursday,0,0,Da Nang,Urban Street,Moderate,Rain
ACC-000013,28.0,4,2023-01-10 19:00:00,2023,1,19,Tuesday,0,0,Hanoi,Intersection,Minor,Clear
ACC-002747,19.5,4,2023-01-10 19:00:00,2023,1,19,Tuesday,0,0,Can Tho,Urban Street,Minor,Clear
ACC-000014,33.9,2,2024-11-18 01:00:00,2024,11,1,Monday,1,0,Hanoi,Highway,Moderate,Clear
ACC-000061,33.8,4,2024-11-18 01:00:00,2024,11,1,Monday,1,0,Hai Phong,Highway,Severe,Clear
ACC-000015,20.1,2,2025-02-15 00:00:00,2025,2,0,Saturday,1,1,Da Nang,Highway,Minor,Rain
ACC-017199,16.8,3,2025-02-15 00:00:00,2025,2,0,Saturday,1,1,Ho Chi Minh City,Intersection,Minor,Fog
ACC-000016,176.1,1,2023-05-25 07:00:00,2023,5,7,Thursday,0,0,Hanoi,Highway,Fatal,Clear
ACC-002766,31.4,3,2023-05-25 07:00:00,2023,5,7,Thursday,0,0,Nha Trang,Residential,Minor,Storm
ACC-000017,17.1,1,2025-01-22 18:00:00,2025,1,18,Wednesday,0,0,Da Nang,Intersection,Minor,Clear
ACC-019811,128.8,2,2025-01-22 18:00:00,2025,1,18,Wednesday,0,0,Hanoi,Urban Street,Fatal,Fog
ACC-000018,21.4,4,2025-11-21 18:00:00,2025,11,18,Friday,0,0,Hanoi,Highway,Minor,Clear
ACC-006928,25.0,4,2025-11-21 18:00:00,2025,11,18,Friday,0,0,Hai Phong,Intersection,Minor,Clear
ACC-013172,21.2,3,2025-11-21 18:00:00,2025,11,18,Friday,0,0,Ho Chi Minh City,Bridge,Minor,Clear
ACC-022480,20.5,3,2025-11-21 18:00:00,2025,11,18,Friday,0,0,Hai Phong,Bridge,Minor,Fog
ACC-000019,32.8,1,2024-04-17 13:00:00,2024,4,13,Wednesday,0,0,Da Nang,Highway,Minor,Rain
ACC-010543,20.6,2,2024-04-17 13:00:00,2024,4,13,Wednesday,0,0,Da Nang,Residential,Minor,Clear
ACC-021071,15.4,1,2024-04-17 13:00:00,2024,4,13,Wednesday,0,0,Hanoi,Residential,Minor,Clear
ACC-022309,25.5,4,2024-04-17 13:00:00,2024,4,13,Wednesday,0,0,Hai Phong,Urban Street,Moderate,Clear
ACC-000020,11.0,3,2024-11-12 07:00:00,2024,11,7,Tuesday,0,0,Ho Chi Minh City,Intersection,Minor,Clear
ACC-005545,14.4,4,2024-11-12 07:00:00,2024,11,7,Tuesday,0,0,Ho Chi Minh City,Residential,Minor,Rain
ACC-019543,14.1,4,2024-11-12 07:00:00,2024,11,7,Tuesday,0,0,Ho Chi Minh City,Bridge,Moderate,Fog
ACC-000021,49.2,1,2023-04-15 01:00:00,2023,4,1,Saturday,1,1,Hanoi,Intersection,Moderate,Rain
ACC-000022,22.3,2,2023-10-09 22:00:00,2023,10,22,Monday,1,0,Da Nang,Residential,Minor,Rain
ACC-000023,37.4,4,2025-09-21 21:00:00,2025,9,21,Sunday,0,1,Ho Chi Minh City,Highway,Moderate,Clear
ACC-000024,20.1,2,2023-11-20 16:00:00,2023,11,16,Monday,0,0,Hai Phong,Intersection,Minor,Fog
ACC-000025,26.0,2,2025-01-17 08:00:00,2025,1,8,Friday,0,0,Ho Chi Minh City,Urban Street,Minor,Fog
ACC-009191,41.9,3,2025-01-17 08:00:00,2025,1,8,Friday,0,0,Da Nang,Intersection,Moderate,Clear
ACC-009405,25.0,1,2025-01-17 08:00:00,2025,1,8,Friday,0,0,Hanoi,Intersection,Minor,Clear
ACC-010478,46.9,1,2025-01-17 08:00:00,2025,1,8,Friday,0,0,Hai Phong,Urban Street,Moderate,Clear
ACC-024976,21.1,3,2025-01-17 08:00:00,2025,1,8,Friday,0,0,Ho Chi Minh City,Urban Street,Minor,Fog
ACC-000026,19.2,3,2023-07-14 10:00:00,2023,7,10,Friday,0,0,Hanoi,Residential,Minor,Fog
ACC-000027,25.8,4,2023-06-27 01:00:00,2023,6,1,Tuesday,1,0,Hanoi,Bridge,Minor,Clear
ACC-000028,31.1,2,2025-10-15 04:00:00,2025,10,4,Wednesday,1,0,Ho Chi Minh City,Urban Street,Moderate,Fog
ACC-001313,60.1,4,2025-10-15 04:00:00,2025,10,4,Wednesday,1,0,Can Tho,Urban Street,Moderate,Clear
ACC-021821,63.3,4,2025-10-15 04:00:00,2025,10,4,Wednesday,1,0,Nha Trang,Highway,Moderate,Rain
ACC-000029,26.6,1,2024-10-27 10:00:00,2024,10,10,Sunday,0,1,Hanoi,Residential,Minor,Clear
ACC-000030,14.8,3,2025-03-11 00:00:00,2025,3,0,Tuesday,1,0,Hai Phong,Bridge,Minor,Clear
ACC-001481,15.5,4,2025-03-11 00:00:00,2025,3,0,Tuesday,1,0,Nha Trang,Bridge,Minor,Clear
ACC-000031,68.3,4,2023-12-10 20:00:00,2023,12,20,Sunday,0,1,Can Tho,Urban Street,Moderate,Clear
ACC-001650,21.6,3,2023-12-10 20:00:00,2023,12,20,Sunday,0,1,Hanoi,Bridge,Minor,Clear
ACC-008207,49.7,2,2023-12-10 20:00:00,2023,12,20,Sunday,0,1,Hai Phong,Intersection,Moderate,Clear
ACC-019335,107.5,2,2023-12-10 20:00:00,2023,12,20,Sunday,0,1,Nha Trang,Intersection,Severe,Rain
ACC-022120,17.2,4,2023-12-10 20:00:00,2023,12,20,Sunday,0,1,Ho Chi Minh City,Intersection,Minor,Clear
ACC-000032,32.1,4,2025-08-03 02:00:00,2025,8,2,Sunday,1,1,Da Nang,Urban Street,Minor,Fog
ACC-023079,47.2,1,2025-08-03 02:00:00,2025,8,2,Sunday,1,1,Hanoi,Highway,Moderate,Fog
ACC-024973,23.9,4,2025-08-03 02:00:00,2025,8,2,Sunday,1,1,Hanoi,Highway,Minor,Rain
ACC-000033,16.6,3,2025-11-27 22:00:00,2025,11,22,Thursday,1,0,Da Nang,Highway,Minor,Clear
ACC-000034,13.0,2,2023-04-19 18:00:00,2023,4,18,Wednesday,0,0,Ho Chi Minh City,Highway,Minor,Storm
ACC-000035,20.3,1,2025-12-14 02:00:00,2025,12,2,Sunday,1,1,Ho Chi Minh City,Intersection,Minor,Clear
ACC-002063,30.7,1,2025-12-14 02:00:00,2025,12,2,Sunday,1,1,Ho Chi Minh City,Residential,Minor,Clear
ACC-000036,70.9,4,2025-05-16 00:00:00,2025,5,0,Friday,1,0,Ho Chi Minh City,Intersection,Severe,Fog
ACC-007683,18.0,3,2025-05-16 00:00:00,2025,5,0,Friday,1,0,Da Nang,Residential,Minor,Rain
ACC-019872,24.3,1,2025-05-16 00:00:00,2025,5,0,Friday,1,0,Can Tho,Residential,Minor,Clear
ACC-000037,21.7,1,2024-07-11 13:00:00,2024,7,13,Thursday,0,0,Ho Chi Minh City,Intersection,Minor,Rain
ACC-000038,13.1,3,2024-10-12 12:00:00,2024,10,12,Saturday,0,1,Ho Chi Minh City,Bridge,Minor,Clear
ACC-000396,26.4,2,2024-10-12 12:00:00,2024,10,12,Saturday,0,1,Hanoi,Bridge,Minor,Rain
ACC-000039,29.5,1,2023-11-12 15:00:00,2023,11,15,Sunday,0,1,Hai Phong,Urban Street,Moderate,Clear
ACC-000040,15.4,3,2024-02-11 01:00:00,2024,2,1,Sunday,1,1,Ho Chi Minh City,Bridge,Minor,Fog
ACC-004478,68.2,4,2024-02-11 01:00:00,2024,2,1,Sunday,1,1,Hai Phong,Bridge,Moderate,Rain
ACC-006858,18.4,4,2024-02-11 01:00:00,2024,2,1,Sunday,1,1,Ho Chi Minh City,Residential,Minor,Clear
ACC-000041,80.6,2,2024-01-11 17:00:00,2024,1,17,Thursday,0,0,Ho Chi Minh City,Residential,Moderate,Clear
ACC-007347,16.4,1,2024-01-11 17:00:00,2024,1,17,Thursday,0,0,Da Nang,Intersection,Minor,Clear
ACC-008529,48.0,2,2024-01-11 17:00:00,2024,1,17,Thursday,0,0,Ho Chi Minh City,Highway,Moderate,Clear
ACC-010444,20.7,4,2024-01-11 17:00:00,2024,1,17,Thursday,0,0,Ho Chi Minh City,Residential,Minor,Clear
ACC-012724,166.7,3,2024-01-11 17:00:00,2024,1,17,Thursday,0,0,Hanoi,Intersection,Fatal,Clear
ACC-016950,20.9,3,2024-01-11 17:00:00,2024,1,17,Thursday,0,0,Can Tho,Intersection,Minor,Clear
ACC-025709,66.8,4,2024-01-11 17:00:00,2024,1,17,Thursday,0,0,Nha Trang,Urban Street,Moderate,Clear
ACC-000042,57.6,1,2025-05-18 23:00:00,2025,5,23,Sunday,1,1,Ho Chi Minh City,Highway,Moderate,Fog
ACC-022521,28.0,4,2025-05-18 23:00:00,2025,5,23,Sunday,1,1,Ho Chi Minh City,Urban Street,Moderate,Clear
ACC-000043,62.2,1,2025-12-04 20:00:00,2025,12,20,Thursday,0,0,Hanoi,Residential,Moderate,Clear
ACC-003746,10.3,2,2025-12-04 20:00:00,2025,12,20,Thursday,0,0,Ho Chi Minh City,Urban Street,Minor,Rain
ACC-018973,17.9,2,2025-12-04 20:00:00,2025,12,20,Thursday,0,0,Ho Chi Minh City,Highway,Minor,Rain
ACC-000044,58.7,1,2025-10-02 14:00:00,2025,10,14,Thursday,0,0,Da Nang,Highway,Moderate,Clear
ACC-000045,23.2,1,2024-04-23 10:00:00,2024,4,10,Tuesday,0,0,Hanoi,Bridge,Minor,Clear
ACC-000046,25.8,3,2024-12-06 02:00:00,2024,12,2,Friday,1,0,Ho Chi Minh City,Urban Street,Minor,Clear
ACC-008231,38.7,3,2024-12-06 02:00:00,2024,12,2,Friday,1,0,Da Nang,Urban Street,Moderate,Clear
ACC-017039,28.3,2,2024-12-06 02:00:00,2024,12,2,Friday,1,0,Hai Phong,Urban Street,Minor,Storm
ACC-025421,31.0,1,2024-12-06 02:00:00,2024,12,2,Friday,1,0,Ho Chi Minh City,Highway,Moderate,Clear
ACC-000047,43.4,2,2023-01-07 09:00:00,2023,1,9,Saturday,0,1,Can Tho,Intersection,Moderate,Clear
ACC-000048,19.4,3,2025-05-20 07:00:00,2025,5,7,Tuesday,0,0,Hai Phong,Bridge,Minor,Clear
ACC-000433,10.7,1,2025-05-20 07:00:00,2025,5,7,Tuesday,0,0,Nha Trang,Highway,Minor,Clear
ACC-025992,124.0,1,2025-05-20 07:00:00,2025,5,7,Tuesday,0,0,Hanoi,Urban Street,Severe,Clear
ACC-000049,27.9,1,2023-12-22 18:00:00,2023,12,18,Friday,0,0,Ho Chi Minh City,Residential,Moderate,Fog
ACC-000862,22.6,1,2023-12-22 18:00:00,2023,12,18,Friday,0,0,Hanoi,Residential,Minor,Rain
ACC-006427,23.5,2,2023-12-22 18:00:00,2023,12,18,Friday,0,0,Can Tho,Bridge,Minor,Clear
ACC-014977,24.8,4,2023-12-22 18:00:00,2023,12,18,Friday,0,0,Hai Phong,Intersection,Minor,Clear
ACC-016522,14.6,3,2023-12-22 18:00:00,2023,12,18,Friday,0,0,Hanoi,Residential,Minor,Rain
ACC-020660,17.4,1,2023-12-22 18:00:00,2023,12,18,Friday,0,0,Can Tho,Intersection,Minor,Clear
ACC-000050,76.7,2,2023-05-10 18:00:00,2023,5,18,Wednesday,0,0,Ho Chi Minh City,Urban Street,Severe,Rain
ACC-000051,18.7,4,2024-05-26 09:00:00,2024,5,9,Sunday,0,1,Ho Chi Minh City,Bridge,Minor,Clear
ACC-007613,17.9,4,2024-05-26 09:00:00,2024,5,9,Sunday,0,1,Hai Phong,Intersection,Minor,Clear
ACC-000052,116.7,3,2024-11-05 20:00:00,2024,11,20,Tuesday,0,0,Da Nang,Intersection,Severe,Clear
ACC-009753,34.7,3,2024-11-05 20:00:00,2024,11,20,Tuesday,0,0,Hanoi,Residential,Moderate,Rain
ACC-010655,12.0,1,2024-11-05 20:00:00,2024,11,20,Tuesday,0,0,Hanoi,Bridge,Minor,Clear
ACC-000053,11.1,3,2025-02-15 23:00:00,2025,2,23,Saturday,1,1,Ho Chi Minh City,Intersection,Minor,Rain
ACC-021360,59.4,2,2025-02-15 23:00:00,2025,2,23,Saturday,1,1,Hanoi,Highway,Moderate,Storm
ACC-000054,10.0,2,2025-05-25 14:00:00,2025,5,14,Sunday,0,1,Ho Chi Minh City,Bridge,Minor,Clear
ACC-018391,19.7,2,2025-05-25 14:00:00,2025,5,14,Sunday,0,1,Da Nang,Residential,Minor,Rain
ACC-000055,25.5,1,2023-11-17 07:00:00,2023,11,7,Friday,0,0,Nha Trang,Bridge,Moderate,Fog
ACC-002161,18.8,4,2023-11-17 07:00:00,2023,11,7,Friday,0,0,Ho Chi Minh City,Intersection,Minor,Clear
ACC-020263,21.9,4,2023-11-17 07:00:00,2023,11,7,Friday,0,0,Hanoi,Urban Street,Minor,Fog
ACC-000056,21.8,1,2024-10-13 18:00:00,2024,10,18,Sunday,0,1,Da Nang,Highway,Moderate,Clear
ACC-000057,17.8,4,2023-03-23 22:00:00,2023,3,22,Thursday,1,0,Nha Trang,Bridge,Minor,Storm
ACC-018192,33.3,1,2023-03-23 22:00:00,2023,3,22,Thursday,1,0,Hanoi,Bridge,Minor,Clear
ACC-000058,19.9,1,2023-05-04 05:00:00,2023,5,5,Thursday,1,0,Hanoi,Bridge,Minor,Fog
ACC-009274,60.2,2,2023-05-04 05:00:00,2023,5,5,Thursday,1,0,Ho Chi Minh City,Highway,Moderate,Clear
ACC-000059,29.8,3,2024-10-22 12:00:00,2024,10,12,Tuesday,0,0,Ho Chi Minh City,Urban Street,Minor,Clear
ACC-000060,19.6,2,2024-04-16 07:00:00,2024,4,7,Tuesday,0,0,Ho Chi Minh City,Bridge,Minor,Rain
ACC-003323,44.1,3,2024-04-16 07:00:00,2024,4,7,Tuesday,0,0,Da Nang,Bridge,Moderate,Clear
ACC-006378,229.5,3,2024-04-16 07:00:00,2024,4,7,Tuesday,0,0,Hanoi,Bridge,Fatal,Fog
ACC-018982,13.5,3,2024-04-16 07:00:00,2024,4,7,Tuesday,0,0,Da Nang,Residential,Minor,Clear
ACC-021694,55.5,2,2024-04-16 07:00:00,2024,4,7,Tuesday,0,0,Hai Phong,Bridge,Moderate,Clear
ACC-000062,16.4,2,2024-09-22 14:00:00,2024,9,14,Sunday,0,1,Hanoi,Highway,Minor,Clear
ACC-000063,18.0,2,2024-08-22 22:00:00,2024,8,22,Thursday,1,0,Can Tho,Highway,Minor,Storm
ACC-000064,109.9,1,2024-08-19 15:00:00,2024,8,15,Monday,0,0,Da Nang,Residential,Severe,Rain
ACC-000065,111.4,4,2025-07-22 23:00:00,2025,7,23,Tuesday,1,0,Hanoi,Urban Street,Severe,Clear
ACC-007424,23.7,1,2025-07-22 23:00:00,2025,7,23,Tuesday,1,0,Da Nang,Residential,Minor,Rain
ACC-019857,15.0,1,2025-07-22 23:00:00,2025,7,23,Tuesday,1,0,Can Tho,Highway,Minor,Clear
ACC-000066,23.6,4,2025-11-20 17:00:00,2025,11,17,Thursday,0,0,Da Nang,Residential,Minor,Clear
ACC-005408,20.1,2,2025-11-20 17:00:00,2025,11,17,Thursday,0,0,Can Tho,Residential,Minor,Rain
ACC-000067,26.7,2,2025-09-09 23:00:00,2025,9,23,Tuesday,1,0,Hanoi,Urban Street,Minor,Clear
ACC-009271,22.0,2,2025-09-09 23:00:00,2025,9,23,Tuesday,1,0,Hanoi,Residential,Minor,Clear
ACC-016405,17.1,1,2025-09-09 23:00:00,2025,9,23,Tuesday,1,0,Hanoi,Urban Street,Minor,Clear
ACC-000068,22.0,2,2025-11-08 06:00:00,2025,11,6,Saturday,0,1,Hanoi,Bridge,Minor,Fog
ACC-002322,21.6,2,2025-11-08 06:00:00,2025,11,6,Saturday,0,1,Hai Phong,Highway,Minor,Clear
ACC-012112,38.6,2,2025-11-08 06:00:00,2025,11,6,Saturday,0,1,Ho Chi Minh City,Highway,Moderate,Rain
ACC-013114,109.0,1,2025-11-08 06:00:00,2025,11,6,Saturday,0,1,Hanoi,Bridge,Severe,Fog
ACC-019843,126.9,1,2025-11-08 06:00:00,2025,11,6,Saturday,0,1,Nha Trang,Intersection,Severe,Clear
ACC-022115,13.1,4,2025-11-08 06:00:00,2025,11,6,Saturday,0,1,Ho Chi Minh City,Bridge,Minor,Rain
ACC-025585,28.5,2,2025-11-08 06:00:00,2025,11,6,Saturday,0,1,Ho Chi Minh City,Residential,Minor,Fog
ACC-000069,26.1,4,2023-05-23 22:00:00,2023,5,22,Tuesday,1,0,Hanoi,Intersection,Minor,Clear
ACC-000070,28.0,4,2025-12-21 23:00:00,2025,12,23,Sunday,1,1,Can Tho,Residential,Minor,Clear
ACC-002758,16.1,4,2025-12-21 23:00:00,2025,12,23,Sunday,1,1,Ho Chi Minh City,Residential,Minor,Rain
ACC-011438,63.6,4,2025-12-21 23:00:00,2025,12,23,Sunday,1,1,Ho Chi Minh City,Residential,Moderate,Clear
ACC-000071,23.4,1,2023-04-14 09:00:00,2023,4,9,Friday,0,0,Hanoi,Urban Street,Moderate,Clear
ACC-002539,131.3,3,2023-04-14 09:00:00,2023,4,9,Friday,0,0,Ho Chi Minh City,Residential,Severe,Clear
ACC-000072,31.2,1,2025-09-20 22:00:00,2025,9,22,Saturday,1,1,Da Nang,Urban Street,Moderate,Clear
ACC-000073,14.1,2,2025-06-01 19:00:00,2025,6,19,Sunday,0,1,Ho Chi Minh City,Highway,Minor,Clear
ACC-012919,17.8,4,2025-06-01 19:00:00,2025,6,19,Sunday,0,1,Ho Chi Minh City,Highway,Minor,Clear
ACC-000074,15.3,3,2025-10-05 08:00:00,2025,10,8,Sunday,0,1,Ho Chi Minh City,Intersection,Minor,Fog
ACC-000075,22.4,1,2023-03-05 04:00:00,2023,3,4,Sunday,1,1,Hanoi,Residential,Minor,Clear
ACC-010200,44.2,1,2023-03-05 04:00:00,2023,3,4,Sunday,1,1,Ho Chi Minh City,Urban Street,Moderate,Storm
ACC-000076,56.7,1,2024-02-03 08:00:00,2024,2,8,Saturday,0,1,Hanoi,Bridge,Severe,Clear
ACC-013702,26.5,3,2024-02-03 08:00:00,2024,2,8,Saturday,0,1,Hanoi,Urban Street,Moderate,Clear
ACC-000077,20.3,2,2025-01-02 04:00:00,2025,1,4,Thursday,1,0,Ho Chi Minh City,Bridge,Minor,Rain
ACC-020805,17.6,4,2025-01-02 04:00:00,2025,1,4,Thursday,1,0,Hanoi,Highway,Minor,Clear
ACC-000078,26.1,1,2023-08-14 18:00:00,2023,8,18,Monday,0,0,Can Tho,Urban Street,Moderate,Clear
ACC-022860,90.0,4,2023-08-14 18:00:00,2023,8,18,Monday,0,0,Nha Trang,Bridge,Severe,Clear
ACC-000079,67.0,3,2023-12-16 23:00:00,2023,12,23,Saturday,1,1,Hai Phong,Residential,Moderate,Clear
ACC-002424,28.1,3,2023-12-16 23:00:00,2023,12,23,Saturday,1,1,Hai Phong,Residential,Minor,Fog
ACC-019990,43.6,1,2023-12-16 23:00:00,2023,12,23,Saturday,1,1,Ho Chi Minh City,Residential,Moderate,Clear
ACC-025611,47.1,4,2023-12-16 23:00:00,2023,12,23,Saturday,1,1,Hai Phong,Urban Street,Moderate,Clear
ACC-000080,23.2,3,2023-02-01 08:00:00,2023,2,8,Wednesday,0,0,Can Tho,Bridge,Minor,Rain
ACC-000081,44.6,4,2023-08-23 03:00:00,2023,8,3,Wednesday,1,0,Hai Phong,Highway,Moderate,Clear
ACC-002919,10.5,1,2023-08-23 03:00:00,2023,8,3,Wednesday,1,0,Can Tho,Residential,Minor,Clear
ACC-000082,29.0,2,2025-02-15 15:00:00,2025,2,15,Saturday,0,1,Ho Chi Minh City,Highway,Moderate,Clear
ACC-000875,51.6,1,2025-02-15 15:00:00,2025,2,15,Saturday,0,1,Hanoi,Urban Street,Moderate,Clear
ACC-018114,126.2,2,2025-02-15 15:00:00,2025,2,15,Saturday,0,1,Ho Chi Minh City,Highway,Fatal,Fog
ACC-000083,27.5,4,2025-02-08 10:00:00,2025,2,10,Saturday,0,1,Can Tho,Urban Street,Severe,Clear
ACC-000084,34.7,4,2025-04-19 05:00:00,2025,4,5,Saturday,1,1,Ho Chi Minh City,Bridge,Moderate,Clear
ACC-000085,39.2,1,2023-11-09 04:00:00,2023,11,4,Thursday,1,0,Hanoi,Intersection,Moderate,Clear
ACC-000086,30.3,2,2023-03-23 20:00:00,2023,3,20,Thursday,0,0,Hanoi,Residential,Minor,Clear
ACC-007309,23.7,3,2023-03-23 20:00:00,2023,3,20,Thursday,0,0,Hanoi,Bridge,Minor,Rain
ACC-023540,37.4,3,2023-03-23 20:00:00,2023,3,20,Thursday,0,0,Hanoi,Bridge,Moderate,Fog
ACC-000087,15.9,2,2024-11-16 09:00:00,2024,11,9,Saturday,0,1,Da Nang,Bridge,Minor,Rain
ACC-008108,26.2,3,2024-11-16 09:00:00,2024,11,9,Saturday,0,1,Da Nang,Intersection,Minor,Clear
ACC-000088,56.9,4,2025-08-12 22:00:00,2025,8,22,Tuesday,1,0,Hanoi,Bridge,Moderate,Rain
ACC-000089,13.4,3,2025-11-07 11:00:00,2025,11,11,Friday,0,0,Hai Phong,Highway,Minor,Clear
ACC-000090,16.4,4,2023-10-01 18:00:00,2023,10,18,Sunday,0,1,Ho Chi Minh City,Highway,Minor,Clear
ACC-005816,30.1,2,2023-10-01 18:00:00,2023,10,18,Sunday,0,1,Ho Chi Minh City,Highway,Moderate,Clear
ACC-006116,108.6,1,2023-10-01 18:00:00,2023,10,18,Sunday,0,1,Hanoi,Urban Street,Fatal,Clear
ACC-008657,12.1,2,2023-10-01 18:00:00,2023,10,18,Sunday,0,1,Ho Chi Minh City,Highway,Minor,Storm
ACC-000091,42.9,3,2025-02-25 16:00:00,2025,2,16,Tuesday,0,0,Hai Phong,Intersection,Moderate,Clear
ACC-020664,23.1,1,2025-02-25 16:00:00,2025,2,16,Tuesday,0,0,Hanoi,Residential,Minor,Clear
ACC-023161,21.4,2,2025-02-25 16:00:00,2025,2,16,Tuesday,0,0,Da Nang,Residential,Minor,Clear
ACC-000092,63.8,1,2025-02-02 02:00:00,2025,2,2,Sunday,1,1,Hanoi,Urban Street,Moderate,Rain
ACC-000093,9.3,2,2023-01-11 20:00:00,2023,1,20,Wednesday,0,0,Hanoi,Highway,Minor,Clear
ACC-004203,63.7,1,2023-01-11 20:00:00,2023,1,20,Wednesday,0,0,Nha Trang,Bridge,Severe,Clear
ACC-013365,24.6,4,2023-01-11 20:00:00,2023,1,20,Wednesday,0,0,Hanoi,Intersection,Minor,Rain
ACC-022200,23.7,2,2023-01-11 20:00:00,2023,1,20,Wednesday,0,0,Ho Chi Minh City,Residential,Minor,Rain
ACC-000094,17.8,1,2024-10-08 09:00:00,2024,10,9,Tuesday,0,0,Hai Phong,Urban Street,Minor,Clear
ACC-000095,58.1,4,2025-08-23 11:00:00,2025,8,11,Saturday,0,1,Hanoi,Bridge,Moderate,Clear
ACC-002883,95.2,1,2025-08-23 11:00:00,2025,8,11,Saturday,0,1,Ho Chi Minh City,Intersection,Severe,Clear
ACC-004364,139.4,1,2025-08-23 11:00:00,2025,8,11,Saturday,0,1,Hai Phong,Highway,Severe,Clear
ACC-011594,105.6,1,2025-08-23 11:00:00,2025,8,11,Saturday,0,1,Ho Chi Minh City,Urban Street,Severe,Fog
ACC-000096,114.6,4,2025-04-15 21:00:00,2025,4,21,Tuesday,0,0,Ho Chi Minh City,Highway,Fatal,Rain
ACC-000097,61.1,3,2024-08-14 18:00:00,2024,8,18,Wednesday,0,0,Da Nang,Intersection,Moderate,Clear
ACC-006503,13.0,4,2024-08-14 18:00:00,2024,8,18,Wednesday,0,0,Hanoi,Intersection,Minor,Fog
ACC-000098,15.5,3,2024-06-06 13:00:00,2024,6,13,Thursday,0,0,Ho Chi Minh City,Bridge,Minor,Clear
ACC-011115,10.7,4,2024-06-06 13:00:00,2024,6,13,Thursday,0,0,Hanoi,Urban Street,Minor,Rain
ACC-000099,36.3,2,2023-01-07 17:00:00,2023,1,17,Saturday,0,1,Ho Chi Minh City,Bridge,Severe,Clear
ACC-001036,24.4,1,2023-01-07 17:00:00,2023,1,17,Saturday,0,1,Ho Chi Minh City,Intersection,Minor,Clear
ACC-002404,25.9,2,2023-01-07 17:00:00,2023,1,17,Saturday,0,1,Hanoi,Residential,Minor,Clear
ACC-010222,48.7,4,2023-01-07 17:00:00,2023,1,17,Saturday,0,1,Hanoi,Intersection,Moderate,Rain
ACC-019235,28.8,4,2023-01-07 17:00:00,2023,1,17,Saturday,0,1,Hanoi,Highway,Minor,Rain
ACC-000100,31.5,2,2024-03-17 17:00:00,2024,3,17,Sunday,0,1,Ho Chi Minh City,Urban Street,Moderate,Clear
