accident_id,accident_datetime,city,road_type,weather,severity,duration_minutes,is_night,vehicles_involved
ACC-000038,2024-10-12 12:00:00,Ho Chi Minh City,Bridge,Clear,Minor,13.1,0,3
ACC-000039,2023-11-12 15:00:00,Hai Phong,Urban Street,Clear,Moderate,29.5,0,1
ACC-000040,2024-02-11 01:00:00,Ho Chi Minh City,Bridge,Fog,Minor,15.4,1,3
ACC-000041,2024-01-11 17:00:00,Ho Chi Minh City,Residential,Clear,Moderate,80.6,0,2
ACC-000042,2025-05-18 23:00:00,Ho Chi Minh City,Highway,Fog,Moderate,57.6,1,1
ACC-000043,2025-12-04 20:00:00,Hanoi,Residential,Clear,Moderate,62.2,0,1
ACC-000044,2025-10-02 14:00:00,Da Nang,Highway,Clear,Moderate,58.7,0,1
ACC-000045,2024-04-23 10:00:00,Hanoi,Bridge,Clear,Minor,23.2,0,1
ACC-000046,2024-12-06 02:00:00,Ho Chi Minh City,Urban Street,Clear,Minor,25.8,1,3
ACC-000047,2023-01-07 09:00:00,Can Tho,Intersection,Clear,Moderate,43.4,0,2
ACC-000048,2025-05-20 07:00:00,Hai Phong,Bridge,Clear,Minor,19.4,0,3
ACC-000049,2023-12-22 18:00:00,Ho Chi Minh City,Residential,Fog,Moderate,27.9,0,1
ACC-000050,2023-05-10 18:00:00,Ho Chi Minh City,Urban Street,Rain,Severe,76.7,0,2
ACC-000051,2024-05-26 09:00:00,Ho Chi Minh City,Bridge,Clear,Minor,18.7,0,4
ACC-000052,2024-11-05 20:00:00,Da Nang,Intersection,Clear,Severe,116.7,0,3
ACC-000053,2025-02-15 23:00:00,Ho Chi Minh City,Intersection,Rain,Minor,11.1,1,3
ACC-000054,2025-05-25 14:00:00,Ho Chi Minh City,Bridge,Clear,Minor,10.0,0,2
ACC-000055,2023-11-17 07:00:00,Nha Trang,Bridge,Fog,Moderate,25.5,0,1
ACC-000056,2024-10-13 18:00:00,Da Nang,Highway,Clear,Moderate,21.8,0,1
ACC-000057,2023-03-23 22:00:00,Nha Trang,Bridge,Storm,Minor,17.8,1,4
ACC-000058,2023-05-04 05:00:00,Hanoi,Bridge,Fog,Minor,19.9,1,1
ACC-000059,2024-10-22 12:00:00,Ho Chi Minh City,Urban Street,Clear,Minor,29.8,0,3
ACC-000060,2024-04-16 07:00:00,Ho Chi Minh City,Bridge,Rain,Minor,19.6,0,2
ACC-000061,2024-11-18 01:00:00,Hai Phong,Highway,Clear,Severe,33.8,1,4
ACC-000062,2024-09-22 14:00:00,Hanoi,Highway,Clear,Minor,16.4,0,2
ACC-000063,2024-08-22 22:00:00,Can Tho,Highway,Storm,Minor,18.0,1,2
ACC-000064,2024-08-19 15:00:00,Da Nang,Residential,Rain,Severe,109.9,0,1
ACC-000065,2025-07-22 23:00:00,Hanoi,Urban Street,Clear,Severe,111.4,1,4
ACC-000066,2025-11-20 17:00:00,Da Nang,Residential,Clear,Minor,23.6,0,4
ACC-000067,2025-09-09 23:00:00,Hanoi,Urban Street,Clear,Minor,26.7,1,2
ACC-000068,2025-11-08 06:00:00,Hanoi,Bridge,Fog,Minor,22.0,0,2
ACC-000069,2023-05-23 22:00:00,Hanoi,Intersection,Clear,Minor,26.1,1,4
ACC-000070,2025-12-21 23:00:00,Can Tho,Residential,Clear,Minor,28.0,1,4
ACC-000071,2023-04-14 09:00:00,Hanoi,Urban Street,Clear,Moderate,23.4,0,1
ACC-000072,2025-09-20 22:00:00,Da Nang,Urban Street,Clear,Moderate,31.2,1,1
ACC-000073,2025-06-01 19:00:00,Ho Chi Minh City,Highway,Clear,Minor,14.1,0,2
ACC-000074,2025-10-05 08:00:00,Ho Chi Minh City,Intersection,Fog,Minor,15.3,0,3
ACC-000075,2023-03-05 04:00:00,Hanoi,Residential,Clear,Minor,22.4,1,1
ACC-000076,2024-02-03 08:00:00,Hanoi,Bridge,Clear,Severe,56.7,0,1
ACC-000077,2025-01-02 04:00:00,Ho Chi Minh City,Bridge,Rain,Minor,20.3,1,2
ACC-000078,2023-08-14 18:00:00,Can Tho,Urban Street,Clear,Moderate,26.1,0,1
ACC-000079,2023-12-16 23:00:00,Hai Phong,Residential,Clear,Moderate,67.0,1,3
ACC-000080,2023-02-01 08:00:00,Can Tho,Bridge,Rain,Minor,23.2,0,3
ACC-000081,2023-08-23 03:00:00,Hai Phong,Highway,Clear,Moderate,44.6,1,4
ACC-000082,2025-02-15 15:00:00,Ho Chi Minh City,Highway,Clear,Moderate,29.0,0,2
ACC-000083,2025-02-08 10:00:00,Can Tho,Urban Street,Clear,Severe,27.5,0,4
ACC-000084,2025-04-19 05:00:00,Ho Chi Minh City,Bridge,Clear,Moderate,34.7,1,4
ACC-000085,2023-11-09 04:00:00,Hanoi,Intersection,Clear,Moderate,39.2,1,1
ACC-000086,2023-03-23 20:00:00,Hanoi,Residential,Clear,Minor,30.3,0,2
ACC-000087,2024-11-16 09:00:00,Da Nang,Bridge,Rain,Minor,15.9,0,2
ACC-000088,2025-08-12 22:00:00,Hanoi,Bridge,Rain,Moderate,56.9,1,4
ACC-000089,2025-11-07 11:00:00,Hai Phong,Highway,Clear,Minor,13.4,0,3
ACC-000090,2023-10-01 18:00:00,Ho Chi Minh City,Highway,Clear,Minor,16.4,0,4
ACC-000091,2025-02-25 16:00:00,Hai Phong,Intersection,Clear,Moderate,42.9,0,3
ACC-000092,2025-02-02 02:00:00,Hanoi,Urban Street,Rain,Moderate,63.8,1,1
ACC-000093,2023-01-11 20:00:00,Hanoi,Highway,Clear,Minor,9.3,0,2
ACC-000094,2024-10-08 09:00:00,Hai Phong,Urban Street,Clear,Minor,17.8,0,1
ACC-000095,2025-08-23 11:00:00,Hanoi,Bridge,Clear,Moderate,58.1,0,4
ACC-000096,2025-04-15 21:00:00,Ho Chi Minh City,Highway,Rain,Fatal,114.6,0,4
ACC-000097,2024-08-14 18:00:00,Da Nang,Intersection,Clear,Moderate,61.1,0,3
ACC-000098,2024-06-06 13:00:00,Ho Chi Minh City,Bridge,Clear,Minor,15.5,0,3
ACC-000099,2023-01-07 17:00:00,Ho Chi Minh City,Bridge,Clear,Severe,36.3,0,2
ACC-000100,2024-03-17 17:00:00,Ho Chi Minh City,Urban Street,Clear,Moderate,31.5,0,2
ACC-000101,2023-03-03 18:00:00,Hanoi,Bridge,Rain,Minor,11.7,0,2
ACC-000102,2023-08-03 01:00:00,Ho Chi Minh City,Urban Street,Rain,Minor,12.0,1,3
ACC-000103,2024-01-19 22:00:00,Ho Chi Minh City,Intersection,Clear,Minor,24.1,1,3
ACC-000104,2025-11-22 00:00:00,Ho Chi Minh City,Highway,Clear,Fatal,171.1,1,3
ACC-000105,2024-05-22 07:00:00,Hai Phong,Urban Street,Clear,Moderate,36.3,0,2
ACC-000106,2025-09-13 02:00:00,Ho Chi Minh City,Highway,Clear,Minor,21.6,1,2
ACC-000107,2024-06-07 22:00:00,Ho Chi Minh City,Highway,Fog,Moderate,49.9,1,4
ACC-000108,2025-09-12 19:00:00,Hanoi,Residential,Rain,Fatal,104.8,0,3
ACC-000109,2025-03-26 21:00:00,Nha Trang,Bridge,Clear,Fatal,191.8,0,1
ACC-000110,2023-02-01 18:00:00,Hanoi,Intersection,Rain,Minor,19.5,0,4
ACC-000111,2023-04-24 22:00:00,Hanoi,Highway,Clear,Minor,23.7,1,2
ACC-000112,2023-07-05 00:00:00,Hai Phong,Intersection,Clear,Minor,13.0,1,1
ACC-000113,2025-10-21 20:00:00,Da Nang,Bridge,Clear,Minor,7.5,0,3
ACC-000114,2023-09-02 10:00:00,Ho Chi Minh City,Intersection,Clear,Moderate,56.5,0,1
ACC-000115,2024-02-11 18:00:00,Ho Chi Minh City,Bridge,Clear,Moderate,43.7,0,3
ACC-000116,2025-01-14 20:00:00,Ho Chi Minh City,Residential,Clear,Moderate,50.2,0,3
ACC-000117,2024-01-12 22:00:00,Ho Chi Minh City,Intersection,Rain,Minor,11.3,1,4
ACC-000118,2024-06-08 19:00:00,Nha Trang,Urban Street,Clear,Minor,24.5,0,4
ACC-000119,2023-12-24 05:00:00,Hai Phong,Urban Street,Rain,Minor,17.2,1,3
ACC-000120,2023-08-19 04:00:00,Ho Chi Minh City,Bridge,Clear,Moderate,58.7,1,3
ACC-000121,2024-10-08 01:00:00,Hanoi,Urban Street,Clear,Minor,25.6,1,1
ACC-000122,2025-10-11 04:00:00,Can Tho,Intersection,Rain,Minor,27.7,1,1
ACC-000123,2023-09-03 17:00:00,Hai Phong,Intersection,Rain,Severe,148.2,0,2
ACC-000124,2024-10-27 00:00:00,Can Tho,Residential,Rain,Minor,17.6,1,2
ACC-000125,2025-07-23 17:00:00,Hanoi,Intersection,Storm,Minor,22.5,0,2
ACC-000126,2025-12-05 17:00:00,Da Nang,Intersection,Clear,Minor,12.9,0,2
ACC-000127,2023-05-14 16:00:00,Da Nang,Residential,Clear,Minor,14.0,0,4
ACC-000128,2024-01-25 03:00:00,Hanoi,Urban Street,Clear,Minor,5.0,1,1
ACC-000129,2025-04-04 20:00:00,Hanoi,Intersection,Clear,Minor,18.1,0,4
ACC-000130,2024-07-22 22:00:00,Hanoi,Intersection,Clear,Minor,21.6,1,2
ACC-000131,2024-03-23 03:00:00,Hai Phong,Residential,Clear,Moderate,65.7,1,1
ACC-000132,2025-10-07 16:00:00,Hai Phong,Residential,Clear,Minor,21.2,0,4
ACC-000133,2024-09-01 17:00:00,Ho Chi Minh City,Highway,Clear,Minor,15.9,0,4
ACC-000134,2025-05-24 11:00:00,Hanoi,Bridge,Fog,Minor,19.4,0,1
ACC-000135,2024-01-08 09:00:00,Da Nang,Bridge,Rain,Moderate,53.8,0,3
ACC-000136,2023-09-16 00:00:00,Hanoi,Highway,Clear,Severe,96.1,1,2
ACC-000137,2025-11-21 02:00:00,Can Tho,Urban Street,Clear,Minor,23.3,1,3
ACC-000138,2025-12-08 17:00:00,Hai Phong,Bridge,Clear,Severe,90.2,0,1
ACC-000139,2025-12-18 14:00:00,Ho Chi Minh City,Residential,Storm,Severe,62.4,0,3
ACC-000140,2025-04-04 02:00:00,Hai Phong,Urban Street,Clear,Minor,17.4,1,4
ACC-000141,2023-10-13 18:00:00,Da Nang,Residential,Fog,Minor,16.3,0,4
ACC-000142,2025-12-12 19:00:00,Hanoi,Intersection,Clear,Minor,22.4,0,2
ACC-000143,2025-09-18 18:00:00,Hanoi,Intersection,Clear,Severe,83.5,0,1
ACC-000144,2023-08-22 19:00:00,Nha Trang,Residential,Fog,Fatal,87.8,0,3
ACC-000145,2024-01-01 20:00:00,Nha Trang,Urban Street,Clear,Minor,18.4,0,1
ACC-000146,2023-11-09 00:00:00,Hai Phong,Bridge,Rain,Minor,23.1,1,4
ACC-000147,2024-01-24 06:00:00,Da Nang,Intersection,Clear,Moderate,38.7,0,1
ACC-000148,2024-03-04 21:00:00,Ho Chi Minh City,Residential,Fog,Moderate,18.8,0,2
ACC-000149,2024-02-20 09:00:00,Can Tho,Urban Street,Clear,Minor,16.8,0,1
ACC-000150,2025-12-08 19:00:00,Ho Chi Minh City,Urban Street,Clear,Moderate,40.3,0,2
ACC-000151,2025-10-04 18:00:00,Da Nang,Intersection,Rain,Minor,16.2,0,1
ACC-000152,2023-08-06 17:00:00,Hai Phong,Urban Street,Rain,Minor,17.8,0,2
ACC-000153,2025-04-21 18:00:00,Ho Chi Minh City,Highway,Rain,Severe,75.0,0,3
ACC-000154,2025-12-14 08:00:00,Ho Chi Minh City,Residential,Clear,Severe,88.8,0,3
ACC-000155,2024-04-22 17:00:00,Can Tho,Intersection,Fog,Minor,24.2,0,4
ACC-000156,2024-06-03 20:00:00,Ho Chi Minh City,Residential,Clear,Severe,112.5,0,1
ACC-000157,2025-10-19 17:00:00,Ho Chi Minh City,Intersection,Clear,Minor,23.0,0,1
ACC-000158,2023-02-10 07:00:00,Hanoi,Residential,Clear,Minor,21.6,0,4
ACC-000159,2023-07-15 06:00:00,Hanoi,Bridge,Clear,Minor,11.8,0,4
ACC-000160,2024-10-14 03:00:00,Hanoi,Intersection,Clear,Minor,22.0,1,2
ACC-000161,2025-03-02 18:00:00,Hai Phong,Residential,Rain,Minor,7.2,0,1
ACC-000162,2024-11-04 03:00:00,Hanoi,Residential,Clear,Moderate,33.9,1,3
ACC-000163,2025-11-12 02:00:00,Nha Trang,Residential,Clear,Moderate,43.4,1,1
ACC-000164,2025-12-10 10:00:00,Hanoi,Residential,Clear,Moderate,44.3,0,1
ACC-000165,2024-03-04 12:00:00,Hanoi,Residential,Fog,Minor,5.0,0,1
ACC-000166,2023-06-01 17:00:00,Nha Trang,Urban Street,Clear,Severe,114.1,0,4
ACC-000167,2025-09-20 18:00:00,Ho Chi Minh City,Highway,Rain,Minor,18.2,0,1
ACC-000168,2023-09-27 19:00:00,Ho Chi Minh City,Residential,Clear,Minor,20.5,0,3
ACC-000169,2024-06-07 06:00:00,Nha Trang,Highway,Clear,Severe,82.1,0,2
ACC-000170,2025-12-20 19:00:00,Ho Chi Minh City,Residential,Clear,Severe,96.6,0,4
ACC-000171,2023-06-11 08:00:00,Can Tho,Intersection,Rain,Minor,21.9,0,4
ACC-000172,2023-10-02 01:00:00,Ho Chi Minh City,Residential,Fog,Severe,72.6,1,1
ACC-000173,2025-02-20 20:00:00,Hanoi,Urban Street,Rain,Minor,23.7,0,2
ACC-000174,2024-11-27 17:00:00,Ho Chi Minh City,Intersection,Clear,Minor,17.7,0,2
ACC-000175,2024-10-04 06:00:00,Da Nang,Bridge,Clear,Minor,28.6,0,2
ACC-000176,2023-02-16 11:00:00,Can Tho,Residential,Clear,Moderate,30.0,0,1
ACC-000177,2023-12-09 06:00:00,Nha Trang,Bridge,Clear,Minor,28.0,0,3
ACC-000178,2024-12-02 15:00:00,Hanoi,Urban Street,Clear,Minor,13.8,0,1
ACC-000179,2023-12-16 19:00:00,Hai Phong,Highway,Clear,Moderate,51.2,0,3
ACC-000180,2024-11-06 12:00:00,Hanoi,Residential,Clear,Minor,12.9,0,4
ACC-000181,2023-12-13 06:00:00,Nha Trang,Intersection,Fog,Severe,45.0,0,2
ACC-000182,2023-04-04 19:00:00,Da Nang,Bridge,Clear,Moderate,47.7,0,1
ACC-000183,2023-03-24 21:00:00,Ho Chi Minh City,Highway,Clear,Severe,77.3,0,3
ACC-000184,2023-11-18 00:00:00,Da Nang,Highway,Clear,Moderate,54.7,1,1
ACC-000185,2025-08-18 18:00:00,Hanoi,Highway,Clear,Moderate,48.2,0,2
ACC-000186,2024-09-25 18:00:00,Can Tho,Residential,Rain,Minor,22.1,0,1
ACC-000187,2023-11-22 13:00:00,Hanoi,Intersection,Rain,Fatal,199.6,0,1
ACC-000188,2025-09-17 01:00:00,Hai Phong,Intersection,Clear,Moderate,47.4,1,1
ACC-000189,2024-01-22 09:00:00,Ho Chi Minh City,Intersection,Rain,Severe,54.6,0,2
ACC-000190,2024-08-11 08:00:00,Hai Phong,Bridge,Rain,Moderate,46.9,0,4
ACC-000191,2023-02-20 16:00:00,Ho Chi Minh City,Bridge,Clear,Minor,30.6,0,3
ACC-000192,2024-08-07 17:00:00,Da Nang,Urban Street,Clear,Minor,16.4,0,3
ACC-000193,2024-01-25 16:00:00,Ho Chi Minh City,Intersection,Clear,Minor,20.9,0,2
ACC-000194,2024-11-16 23:00:00,Nha Trang,Residential,Clear,Minor,22.5,1,2
ACC-000195,2023-09-15 22:00:00,Ho Chi Minh City,Intersection,Rain,Minor,19.5,1,3
ACC-000196,2024-06-19 01:00:00,Hanoi,Intersection,Rain,Minor,13.8,1,2
ACC-000197,2025-02-09 20:00:00,Can Tho,Intersection,Rain,Moderate,46.8,0,2
ACC-000198,2025-12-09 05:00:00,Ho Chi Minh City,Intersection,Clear,Fatal,160.4,1,4
ACC-000199,2025-01-18 17:00:00,Hai Phong,Bridge,Clear,Minor,10.8,0,2
ACC-000200,2025-11-02 10:00:00,Ho Chi Minh City,Bridge,Clear,Minor,17.3,0,2
ACC-000201,2025-11-14 04:00:00,Ho Chi Minh City,Residential,Rain,Minor,13.0,1,4
ACC-000202,2023-04-07 17:00:00,Hanoi,Intersection,Clear,Minor,26.5,0,1
ACC-000203,2023-02-11 17:00:00,Ho Chi Minh City,Highway,Clear,Minor,18.3,0,1
ACC-000204,2024-09-19 11:00:00,Hanoi,Bridge,Clear,Minor,22.3,0,3
ACC-000205,2024-01-24 23:00:00,Ho Chi Minh City,Bridge,Storm,Moderate,47.6,1,1
ACC-000206,2023-10-12 20:00:00,Da Nang,Urban Street,Clear,Moderate,49.9,0,3
ACC-000207,2023-11-27 18:00:00,Hai Phong,Intersection,Clear,Moderate,43.2,0,2
ACC-000208,2023-01-08 01:00:00,Hai Phong,Urban Street,Clear,Moderate,44.2,1,1
ACC-000209,2023-03-02 06:00:00,Hai Phong,Residential,Clear,Minor,17.1,0,2
ACC-000210,2025-02-08 20:00:00,Hai Phong,Highway,Clear,Minor,24.2,0,2
ACC-000211,2025-06-01 07:00:00,Hanoi,Urban Street,Rain,Fatal,191.1,0,3
ACC-000212,2024-09-19 14:00:00,Hai Phong,Intersection,Clear,Minor,17.3,0,4
ACC-000213,2025-01-25 05:00:00,Hanoi,Bridge,Fog,Minor,19.5,1,4
ACC-000214,2025-03-27 07:00:00,Can Tho,Intersection,Clear,Fatal,100.9,0,4
ACC-000215,2025-10-02 23:00:00,Hai Phong,Residential,Fog,Moderate,41.0,1,4
ACC-000216,2023-06-06 20:00:00,Hanoi,Urban Street,Rain,Minor,20.7,0,1
ACC-000217,2023-10-07 00:00:00,Ho Chi Minh City,Urban Street,Fog,Minor,14.0,1,1
ACC-000218,2024-06-06 17:00:00,Ho Chi Minh City,Highway,Clear,Minor,17.6,0,4
ACC-000219,2024-09-13 21:00:00,Nha Trang,Residential,Clear,Minor,21.3,0,2
ACC-000220,2024-11-02 15:00:00,Can Tho,Bridge,Rain,Minor,22.7,0,3
ACC-000221,2025-04-13 08:00:00,Da Nang,Highway,Clear,Minor,18.5,0,4
ACC-000222,2025-10-17 20:00:00,Da Nang,Bridge,Rain,Severe,116.6,0,2
ACC-000223,2023-06-08 02:00:00,Hanoi,Intersection,Rain,Minor,27.4,1,2
ACC-000224,2024-02-16 09:00:00,Ho Chi Minh City,Residential,Rain,Fatal,234.5,0,4
ACC-000225,2025-01-06 13:00:00,Hanoi,Urban Street,Clear,Moderate,23.8,0,3
ACC-000226,2023-10-09 13:00:00,Hanoi,Bridge,Fog,Moderate,45.9,0,2
ACC-000227,2025-04-17 01:00:00,Ho Chi Minh City,Urban Street,Storm,Moderate,66.3,1,4
ACC-000228,2024-01-21 19:00:00,Can Tho,Intersection,Clear,Moderate,51.7,0,4
ACC-000229,2025-11-05 10:00:00,Ho Chi Minh City,Bridge,Rain,Minor,20.3,0,3
ACC-000230,2025-02-10 18:00:00,Ho Chi Minh City,Urban Street,Clear,Moderate,43.8,0,4
ACC-000231,2023-06-16 23:00:00,Hanoi,Bridge,Clear,Minor,21.8,1,1
ACC-000232,2025-08-23 04:00:00,Hanoi,Residential,Clear,Minor,19.3,1,1
ACC-000233,2024-05-25 16:00:00,Ho Chi Minh City,Intersection,Clear,Minor,28.1,0,4
ACC-000234,2025-12-07 17:00:00,Hanoi,Bridge,Clear,Minor,21.4,0,3
ACC-000235,2024-05-21 18:00:00,Ho Chi Minh City,Urban Street,Clear,Moderate,41.2,0,2
ACC-000236,2024-02-27 17:00:00,Ho Chi Minh City,Residential,Clear,Minor,22.5,0,1
ACC-000237,2025-09-20 16:00:00,Ho Chi Minh City,Urban Street,Clear,Minor,26.2,0,3
ACC-000238,2025-09-04 09:00:00,Da Nang,Residential,Clear,Moderate,35.9,0,1
ACC-000239,2025-09-07 19:00:00,Nha Trang,Urban Street,Fog,Severe,125.7,0,3
ACC-000240,2024-01-18 23:00:00,Hanoi,Intersection,Clear,Minor,19.0,1,1
ACC-000241,2023-03-01 12:00:00,Da Nang,Residential,Rain,Minor,17.6,0,3
ACC-000242,2024-12-21 00:00:00,Hanoi,Highway,Clear,Moderate,67.9,1,4
ACC-000243,2023-11-04 18:00:00,Ho Chi Minh City,Residential,Clear,Minor,23.8,0,4
ACC-000244,2023-02-10 02:00:00,Hai Phong,Bridge,Clear,Minor,11.1,1,2
ACC-000245,2023-09-19 11:00:00,Hai Phong,Bridge,Clear,Moderate,43.2,0,3
ACC-000246,2024-06-24 19:00:00,Hanoi,Residential,Clear,Moderate,52.7,0,3
ACC-000247,2025-01-05 23:00:00,Ho Chi Minh City,Bridge,Clear,Minor,22.8,1,3
ACC-000248,2025-06-04 07:00:00,Ho Chi Minh City,Urban Street,Rain,Minor,37.0,0,3
ACC-000249,2024-12-21 18:00:00,Hanoi,Residential,Clear,Minor,18.1,0,1
ACC-000250,2025-03-04 19:00:00,Da Nang,Intersection,Clear,Minor,20.6,0,4
ACC-000251,2025-09-02 00:00:00,Da Nang,Bridge,Clear,Minor,16.2,1,3
ACC-000252,2025-07-01 14:00:00,Hanoi,Bridge,Clear,Moderate,34.2,0,4
ACC-000253,2025-12-06 06:00:00,Ho Chi Minh City,Intersection,Rain,Minor,18.0,0,2
ACC-000254,2023-09-01 05:00:00,Hanoi,Intersection,Clear,Moderate,69.0,1,1
ACC-000255,2023-12-06 19:00:00,Hai Phong,Bridge,Clear,Minor,27.8,0,4
ACC-000256,2025-09-16 15:00:00,Ho Chi Minh City,Residential,Clear,Minor,24.5,0,1
ACC-000257,2025-11-12 07:00:00,Hanoi,Intersection,Clear,Minor,20.9,0,3
ACC-000258,2023-10-16 02:00:00,Nha Trang,Urban Street,Clear,Minor,21.9,1,1
ACC-000259,2023-03-11 18:00:00,Hanoi,Residential,Clear,Minor,17.5,0,3
ACC-000260,2025-07-03 09:00:00,Da Nang,Intersection,Clear,Minor,20.9,0,4
ACC-000261,2024-07-04 19:00:00,Hanoi,Urban Street,Rain,Moderate,42.2,0,4
ACC-000262,2023-03-10 23:00:00,Hanoi,Bridge,Rain,Moderate,41.9,1,4
ACC-000263,2024-06-13 18:00:00,Hanoi,Urban Street,Clear,Severe,103.5,0,4
ACC-000264,2023-02-06 14:00:00,Hanoi,Intersection,Clear,Fatal,170.8,0,3
ACC-000265,2025-09-24 07:00:00,Ho Chi Minh City,Bridge,Clear,Moderate,42.3,0,1
ACC-000266,2025-08-22 23:00:00,Da Nang,Residential,Rain,Minor,18.4,1,3
ACC-000267,2024-05-26 07:00:00,Hai Phong,Intersection,Fog,Minor,10.3,0,3
ACC-000268,2025-02-11 22:00:00,Ho Chi Minh City,Residential,Fog,Minor,30.4,1,1
ACC-000269,2025-01-12 17:00:00,Hai Phong,Urban Street,Clear,Minor,29.1,0,2
ACC-000270,2023-01-24 22:00:00,Da Nang,Intersection,Fog,Severe,77.6,1,2
ACC-000271,2023-06-18 12:00:00,Can Tho,Bridge,Clear,Minor,21.3,0,2
ACC-000272,2024-06-13 20:00:00,Da Nang,Residential,Rain,Minor,22.9,0,4
ACC-000273,2023-07-22 08:00:00,Hanoi,Urban Street,Rain,Moderate,44.5,0,3
ACC-000274,2025-07-17 12:00:00,Hanoi,Bridge,Clear,Minor,16.9,0,4
ACC-000275,2023-10-09 09:00:00,Ho Chi Minh City,Residential,Clear,Minor,18.5,0,1
ACC-000276,2023-06-10 19:00:00,Da Nang,Intersection,Clear,Moderate,22.7,0,1
ACC-000277,2024-10-24 10:00:00,Nha Trang,Urban Street,Storm,Severe,81.3,0,3
ACC-000278,2023-09-15 02:00:00,Da Nang,Intersection,Storm,Minor,5.0,1,2
ACC-000279,2024-09-08 13:00:00,Ho Chi Minh City,Highway,Rain,Severe,61.5,0,3
ACC-000280,2024-04-17 23:00:00,Hai Phong,Highway,Rain,Moderate,33.0,1,1
ACC-000281,2025-09-10 22:00:00,Hai Phong,Residential,Rain,Fatal,76.6,1,3
ACC-000282,2023-11-06 19:00:00,Hanoi,Urban Street,Clear,Fatal,120.3,0,1
ACC-000283,2024-04-04 22:00:00,Ho Chi Minh City,Intersection,Storm,Minor,19.6,1,4
